id_ppt,id_img,order,ppt,image,trial,x,y,duration,train
14,22,8,PP24,1654,14,657.22980997625,302.862882274347,0.842,TRUE
14,22,9,PP24,1654,14,390.083333333333,194.800347222222,0.27,TRUE
14,22,10,PP24,1654,14,476.778996865204,243.671017829153,0.638,TRUE
14,22,13,PP24,1654,14,291.514084507042,270.265735035211,0.142,TRUE
14,25,1,PP24,1673,10,244.223582474227,232.904115657216,0.388,TRUE
14,25,2,PP24,1673,10,9.65476190476187,556.266741071429,0.21,TRUE
14,25,3,PP24,1673,10,79.6415441176469,451.884191176471,0.408,TRUE
14,25,4,PP24,1673,10,657.626336248787,141.273574161807,2.058,TRUE
14,25,5,PP24,1673,10,31.9897959183674,408.577806122449,0.196,TRUE
14,25,6,PP24,1673,10,91.5625,444.910070398352,0.364,TRUE
14,25,7,PP24,1673,10,669.779624277456,162.311461343931,0.346,TRUE
14,25,8,PP24,1673,10,662.364523121387,105.096188583815,0.692,TRUE
14,25,9,PP24,1673,10,627.990277777775,118.809895833333,0.9,TRUE
14,25,10,PP24,1673,10,213.513655462185,588.4634322479,0.238,TRUE
14,25,11,PP24,1673,10,125.982421875,509.013061523438,0.64,TRUE
14,25,12,PP24,1673,10,145.078125,536.905517578125,0.32,TRUE
14,27,1,PP24,1687,6,229.300699300699,109.377731643357,0.286,TRUE
14,27,2,PP24,1687,6,127.045454545454,169.513494318182,0.264,TRUE
14,27,3,PP24,1687,6,78.3102218700475,64.5097687202854,1.262,TRUE
14,27,4,PP24,1687,6,359.774159663866,275.961790966386,0.238,TRUE
14,27,5,PP24,1687,6,349.191666666667,223.997395833333,0.45,TRUE
14,27,6,PP24,1687,6,397.895408163265,418.356983418367,0.49,TRUE
14,27,7,PP24,1687,6,363.755281690141,448.877640845071,0.71,TRUE
14,27,8,PP24,1687,6,497.011834319527,155.408653846154,0.338,TRUE
14,27,9,PP24,1687,6,318.290307971014,226.609205163043,0.552,TRUE
14,27,10,PP24,1687,6,373.896791767554,440.227754237288,0.826,TRUE
14,27,11,PP24,1687,6,359.231150793651,453.280784970238,1.008,TRUE
14,27,12,PP24,1687,6,415.193117977528,231.26097261236,0.356,TRUE
14,27,13,PP24,1687,6,100.625,163.88567862426,0.338,TRUE
14,28,1,PP24,1691,24,414.286458333333,316.15234375,0.24,TRUE
14,28,2,PP24,1691,24,594.304366438356,389.849101027397,0.584,TRUE
14,28,3,PP24,1691,24,714.71875,232.043805803572,0.28,TRUE
14,28,4,PP24,1691,24,721.057180851062,136.309944315159,0.752,TRUE
14,28,5,PP24,1691,24,663.897569444444,365.098741319445,0.432,TRUE
14,28,9,PP24,1691,24,540.87588028169,101.321797975352,0.284,TRUE
14,28,10,PP24,1691,24,654.760416666669,72.4316406250002,0.12,TRUE
14,28,11,PP24,1691,24,648.580357142856,125.415736607143,0.14,TRUE
14,28,12,PP24,1691,24,635.51276771005,292.767967462932,1.214,TRUE
14,28,13,PP24,1691,24,654.392361111113,160.85205078125,0.288,TRUE
14,28,14,PP24,1691,24,654.224759615387,116.038161057693,0.416,TRUE
14,29,1,PP24,1699,4,421.03515625,60.6582641601562,0.256,TRUE
14,29,2,PP24,1699,4,351.610696517413,78.0579524253732,0.402,TRUE
14,29,3,PP24,1699,4,305.431149732621,57.866811497326204,0.374,TRUE
14,29,4,PP24,1699,4,349.426020408163,502.653659119898,0.392,TRUE
14,29,5,PP24,1699,4,402.084143968872,77.9182879377434,0.514,TRUE
14,29,6,PP24,1699,4,303.781847133758,74.0315236863059,0.628,TRUE
14,29,7,PP24,1699,4,300.980674342105,61.3056383634867,0.608,TRUE
14,29,8,PP24,1699,4,342.074275362319,459.476902173913,0.414,TRUE
14,29,9,PP24,1699,4,203.816964285714,563.410295758928,0.336,TRUE
14,29,10,PP24,1699,4,179.177350427351,570.452724358975,0.234,TRUE
14,29,11,PP24,1699,4,327.175,132.6578125,0.75,TRUE
14,29,12,PP24,1699,4,300.174107142857,152.762276785714,0.28,TRUE
14,29,13,PP24,1699,4,242.141736401674,510.819822175732,0.478,TRUE
14,29,14,PP24,1699,4,238.248299319728,535.638552295918,0.294,TRUE
14,29,15,PP24,1699,4,397.399425287356,155.014143318966,0.348,TRUE
14,29,16,PP24,1699,4,765.222293814431,173.274403994845,0.388,TRUE
15,1,1,PP25,1001,20,291.450559701493,411.118236940298,0.268,TRUE
15,1,2,PP25,1001,20,543.471875,335.7509765625,0.4,TRUE
15,1,3,PP25,1001,20,470.902777777778,276.710236378205,0.936,TRUE
15,1,4,PP25,1001,20,685.919243986256,459.1796875,0.582,TRUE
15,1,5,PP25,1001,20,656.244318181819,474.332386363637,0.22,TRUE
15,1,6,PP25,1001,20,358.914670658682,240.462434505988,0.334,TRUE
15,1,7,PP25,1001,20,397.0975,309.4640625,0.5,TRUE
15,1,8,PP25,1001,20,406.627155172414,277.274717133621,0.232,TRUE
15,1,10,PP25,1001,20,518.71996996997,406.851773648648,0.666,TRUE
15,1,11,PP25,1001,20,469.900700934579,319.461886682243,0.214,TRUE
15,2,1,PP25,1014,19,385.052395209581,131.562266092815,0.334,TRUE
15,2,2,PP25,1014,19,412.380793226381,105.842663770054,1.122,TRUE
15,2,3,PP25,1014,19,125.578859060402,100.289691694631,0.298,TRUE
15,2,4,PP25,1014,19,441.755208333333,112.03125,0.24,TRUE
15,2,5,PP25,1014,19,461.731032906764,73.2154079067645,1.094,TRUE
15,2,6,PP25,1014,19,457.040028089888,80.1681004213482,0.356,TRUE
15,2,7,PP25,1014,19,493.928571428571,443.811383928571,0.21,TRUE
15,2,8,PP25,1014,19,412.715968586387,383.927110602094,0.382,TRUE
15,2,9,PP25,1014,19,201.117256637168,128.952917588495,0.452,TRUE
15,2,10,PP25,1014,19,398.722826086956,225.213357676631,0.368,TRUE
15,2,11,PP25,1014,19,174.084224598931,100.72484959893,0.374,TRUE
15,2,12,PP25,1014,19,491.517857142857,140.713355654762,0.252,TRUE
15,2,13,PP25,1014,19,464.315732758621,111.595837823276,0.232,TRUE
15,2,14,PP25,1014,19,462.097602739726,83.3375695633564,0.584,TRUE
15,2,15,PP25,1014,19,408.443181818182,224.499289772728,0.22,TRUE
15,2,16,PP25,1014,19,422.015306122449,152.37962372449,0.196,TRUE
15,3,1,PP25,1049,17,402.456487341772,281.724683544304,0.316,TRUE
15,3,2,PP25,1049,17,148.691037735849,135.893278301887,0.212,TRUE
15,3,3,PP25,1049,17,195.735090152566,108.581289008322,1.442,TRUE
15,3,4,PP25,1049,17,431.327160493827,104.229359567901,0.486,TRUE
15,3,5,PP25,1049,17,404.723282442748,113.859732824428,0.262,TRUE
15,3,6,PP25,1049,17,200.049603174603,130.673363095238,0.126,TRUE
15,3,7,PP25,1049,17,386.612338362069,120.288927801724,0.928,TRUE
15,3,8,PP25,1049,17,557.98828125,137.431640625,0.32,TRUE
15,3,9,PP25,1049,17,486.243206521739,176.704738451087,0.368,TRUE
15,3,10,PP25,1049,17,283.184523809524,119.177827380952,0.504,TRUE
15,3,11,PP25,1049,17,346.135265700483,157.520946557971,0.414,TRUE
15,3,12,PP25,1049,17,187.149621212121,105.721768465909,0.264,TRUE
15,5,1,PP25,1092,8,359.302212732919,233.018427309783,1.288,TRUE
15,5,2,PP25,1092,8,304.468457943925,389.155592873832,0.214,TRUE
